"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Seed Blaster","c9398109-bd6e-4a4a-9284-26945008aedf","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:47:12Z,"wix:image://v1/c3c13c_35b2baa68c554e13a6a7e3e9008f68be~mv2.jpg/1%2041%20-%20Seed%20Blaster.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",3,"Creature","Gaios","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Common""}","When this creature is killed by a battle, all creatures in your opponent's battle zones become Gaios creatures.",,120,120
"Copex Helmet","c9881b00-7671-4fd1-82f4-e46c2d207f5d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_47a192d5bceb4243a0a5177b894b15d0~mv2.jpg/3%20112%20-%20Copex%20Helmet.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Attachment",,"{""III - Galactic Divide"":""Limited Edition""}","The first time you play this card, attach it to any zoned creature with an ability. When that attached creature is killed, return this card to your hand. The second time you attach this card to a creature, it gains the ability of the first attached creature.",,,
"Underwood Burrower","c9c1f26b-c212-44b9-9636-794bfc3f010a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:49:04Z,"wix:image://v1/c3c13c_6b03da43efdf40b28fa82a90ccb56387~mv2.jpg/3%2053%20-%20Underood%20Burrower.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",6,"Creature","Gaios","{""III - Galactic Divide"":""Rare""}","To play this card, you must kill 1 zoned resource card on either planet (you also pay stars if it is a cost play).",,320,240
"Transponge","ca2ee70d-753d-47ca-8d78-055cead12ab4","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:48:49Z,"wix:image://v1/c3c13c_46805d6cd9504b049bd89a7535247044~mv2.jpg/1%209%20-%20Transponge.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Palicium Planetary Collection""]",1,"Creature","Palicium","{""I - The Origin of Chaos"":""Common"",""Palicium Planetary Collection"":""Common""}",,,20,90
"Hellda’s Cauldron","cb02b4be-bcf2-4d24-8006-a6186af53199","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:48:23Z,"wix:image://v1/06e28e_31a05ed6c45b4f72b17ec74e592246f3~mv2.jpg/084-Helldas-cauldron.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Activator",,"{""V - Beyond Horizons"":""Common""}","When a 5 star or lower Sindell creature is killed from your galaxy... Free play that creature.",,,
"Kabonk Contact Ground","cb481a38-45df-4908-bb90-265532ba3eab","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_c981d138fa5f46908515cb5a453d2639~mv2.jpg/4%2073%20-%20Kabonk%20Contact%20Ground.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Permanent Resource",,"{""IV - Planets United"":""Common""}","All zoned Kabonk creatures also become Teklar creatures. When a Kabonk creature that has 3 or more home planets is killed by your opponent, draw 1 card.",,,
"Kinzeki","ccb4db8b-f6d0-42ed-9e5c-8edd6ba4ac88","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:49:52Z,"wix:image://v1/06e28e_544a915c59fb4481a46d4799ec917fee~mv2.jpg/045-Kinzeki.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Rokah","{""V - Beyond Horizons"":""Common""}","If you have no other handed cards, you can free play this handed card and draw 1 card.",,180,180
"Star Path","cd15f853-eaf5-45ff-ae78-eeac752be7f6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-08-03T06:14:53Z,"wix:image://v1/c3c13c_77c3c0d362af4530a54f385d45441c60~mv2.jpg/1%2058%20-%20Starpath.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","Pay any amount of stars in multiples of 4. Then draw 1 card for every 4 stars you paid.",,,
"Bonbeak","cd761904-279b-4a57-bdd8-8121e5031cf8","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:44:42Z,"wix:image://v1/06e28e_46da695707a6432a99bb68296ace3f2a~mv2.jpg/020-Bonbeak.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",2,"Creature","Sindell","{""V - Beyond Horizons"":""Common""}","When this zoned creature is killed, you can kill 1 galaxied Sindell creature.
",,100,70
"Life Force Blade","cde3cd0c-db04-4f6d-9a08-41ca0a5000fc","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:50:35Z,"wix:image://v1/06e28e_a6d657f84ea74781bbe3fe01f3d4efad~mv2.jpg/081-life-force-blade.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Attachment",,"{""V - Beyond Horizons"":""Common""}","The attached creature gains 50 power. When it kills an opponent’s creature, that killed creature loses any abilities it has until after it is killed.",,,
"Omniplanetary Top Hat","ce115aa2-4c80-45e5-9266-29f1ef14d6ab","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_52c8c5f65a0d46b28b3dc8850cecd595~mv2.jpg/4%2077-%20Omniplanetary%20Top%20hat.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Attachment",,"{""IV - Planets United"":""Common""}","The attached creature also becomes a creature from your planet card.",,,
"The Lost Probe","ce25145a-002a-47b4-9ccb-2c750473144c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_16614c6532a042c5aa31c23225ff5c78~mv2.jpg/3%2095%20-%20Lost%20Probe.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Activator",,"{""III - Galactic Divide"":""Common""}","When your turn begins... Instead of drawing 1 card, add 1 galaxied creature to your hand which isn't from your planet card.",,,
"Weatherman Soun","ce25aa99-f8ea-46cf-b881-9d1e19fcb240","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:48:54Z,"wix:image://v1/c3c13c_16f31d31910f4f14b42ef6d15490a004~mv2.jpg/2%2038%20-%20Weatherman%20Soun.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",4,"Creature","Rokah","{""II - Deep Space Discoveries"":""Common""}",,,240,140
"Galaxy's Gift","ced7bcb4-e7f3-44c7-bc08-6b11d672cc9f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-08T15:41:36Z,"wix:image://v1/c3c13c_c38a650616634e5a8421c4867a7ab950~mv2.jpg/1%2055%20-%20Galaxy's%20Gift.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","You gain 2 stars.",,,
"Lost Bogibooga","cfd0a95d-d70c-455a-a3ca-bb9b35f2ecef","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:46:01Z,"wix:image://v1/c3c13c_eb7576ad96f649ba9184f7a30f8538b4~mv2.jpg/3%2032%20-%20Lost%20Bogibooga.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature ","No Planet","{""III - Galactic Divide"":""Common""}",,,30,280
"Floating Temp of Tempfloaty","cfd30ed6-5620-44a2-8949-256bdb50b87f","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:47:56Z,"wix:image://v1/06e28e_b259caa9a1d1463485ac84b5527be598~mv2.jpg/044-Floating-temps-of-tempfloaty.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",7,"Creature","Rokah","{""V - Beyond Horizons"":""Common""}","You can free play this handed card by killing all your other handed cards (min. 1). When you do, you can play 1 galaxied permanent resource. If you have another zoned Tempfloaty card, this creature gains 300 health.",,340,100
"The Ancient Utopanon","d003a090-e9a6-4e79-93bf-f88a271380b5","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:48:41Z,"wix:image://v1/c3c13c_b335121fc8c94fc58b851a21988e57b5~mv2.jpg/3%2045%20-%20ancient%20utopanon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature","Sindian","{""III - Galactic Divide"":""Common""}","This creature gains 50 power & health for each of your other zoned creatures.",,100,150
"The Elitist","d02119ce-d0e4-4d69-89fc-eccf73a49341","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:48:39Z,"wix:image://v1/c3c13c_19158532f0a147118c150f045373f23c~mv2.jpg/3%204%20-%20Elitist.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Rokah","{""III - Galactic Divide"":""Common""}","Only once, you can choose 1 of either player's killed creatures which has no ability. This creature's name becomes that creature's name until it is killed.",,100,100
"Jubablub","d027ba8d-38e2-47a9-814b-5eb626763db4","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-11-02T18:18:01Z,"wix:image://v1/c3c13c_59f41524d3b2440b8dc7f0ad994e7aed~mv2.jpg/030---Jubablub.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Palicium Planetary Collection"",""V - Beyond Horizons""]",4,"Creature","Palicium","{""Palicium Planetary Collection"":""Common"",""V - Beyond Horizons"":""Common""}",,,260,150
"Torch of Torcorch","d029a517-ac56-4f4b-880e-b0b0746d01ce","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T08:01:00Z,"wix:image://v1/06e28e_27d17234f97e409da7698c5eabafddc2~mv2.jpg/075-torch-of-torcorch.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Permanent Resource",,"{""V - Beyond Horizons"":""Common""}","All zoned creatures lose 100 health.",,,
"Possessed Patrolman","d04cfb4d-2be7-46fb-8702-41d9a29ea2a5","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-09T23:48:39Z,"wix:image://v1/c3c13c_de6cf88c62f847a09d1f96083b291026~mv2.jpg/2%2065%20-%20Posessed%20Patrolman.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",,"Resource",,"{""II - Deep Space Discoveries"":""Rare"",""Legends of the Cosmos"":""Common""}","Kill 1 card on your planet.",,,
"Palicium","d052fc3f-3bcd-4dd1-997c-a88f70c89c92","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-11-02T18:28:10Z,"wix:image://v1/c3c13c_edc621f94c914ea9a8923a224e61bcc9~mv2.jpg/1%20100%20-%20palicium.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""II - Deep Space Discoveries"",""III - Galactic Divide"",""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Palicium","{""III - Galactic Divide"":""Planet"",""V - Beyond Horizons"":""Planet"",""IV - Planets United"":""Planet"",""I - The Origin of Chaos"":""Planet"",""II - Deep Space Discoveries"":""Planet""}","You can kill 2 Palicium creatures on your planet that have a combined total of 6 stars or less to free play any 1 Palicium creature from your hand.",,,
"Zatalon","d0eb8569-6056-432d-bb94-8e3b94495313","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:49:20Z,"wix:image://v1/c3c13c_da6a5c3550c84e43ac7a3d74ecb0bbd6~mv2.jpg/4%2040%20-%20Zatalon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",7,"Creature","Rokah","{""IV - Planets United"":""Rare""}",,,400,300
"Kabonk Battle Body","d0f04d3d-6a98-4016-aece-74255668fac1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_462360b26a78417194a7db4401d9bdc4~mv2.jpg/4%2079%20-%20Kabonk%20Battle%20Body.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Attachment",,"{""IV - Planets United"":""Common""}","The attached creature also becomes a Sindell creature and gains 30 power & health for every different planet it comes from.",,,
"Reef Wanderer","d14355e0-501b-45ac-8d83-1dc6f64626c7","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:54Z,2022-11-02T07:53:38Z,"wix:image://v1/06e28e_0e797c9dafdb436e9212059e54551af5~mv2.jpg/102-Reef-wanderer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",6,"Creature","Palicium","{""V - Beyond Horizons"":""Limited Edition""}","When this creature is cost played, gain 1 point for each of your other zoned Palicium creatures.",,240,320
"Mystical Beast of the Deep","d1a1b059-7eb6-46c0-840b-16fad01cb5e1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:10Z,"wix:image://v1/c3c13c_62692c98b96d40de95e2e62d660d9af6~mv2.jpg/d1%209%20%20-%20mythical%20beast.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium"",""Palicium Planetary Collection"",""Legends of the Cosmos""]",7,"Creature","Palicium","{""Base Galaxy 1: The Depths of Palicium"":""Common"",""Palicium Planetary Collection"":""Rare"",""Legends of the Cosmos"":""Really Rare""}","When this creature is killed by an attack, you can add 1 of either player's killed Palicium creatures with 6 or more stars to your hand (except this card). ",,340,310
"Lidlod","d1d3d5a0-a9ee-4a04-81dd-a4c98476f356","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:50:23Z,"wix:image://v1/06e28e_b4d21fba1b6f46db9459d1fbee9cfdeb~mv2.jpg/024-Lidlod.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Sindian","{""V - Beyond Horizons"":""Common""}","If this zoned creature is killed on your opponent’s turn, during your next turn you can attach it to 1 of your zoned creatures. If your opponent would attack & kill the attached creature, you can kill this attached card instead.",,20,240
"Notem of Sand","d1ecb9fd-a5da-425c-810a-f6e1584f650a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:31Z,"wix:image://v1/c3c13c_2b04a8f00cd64e59bf90dab9f1c3bc4b~mv2.jpg/D4%2013%20-%20Notem%20of%20Sand.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 4: The Wastelands of Baro""]",4,"Creature","Baro","{""Base Galaxy 4: The Wastelands of Baro"":""Common""}","Whilst this creature is on your planet, you cannot play Gaios creatures. Once per game, when this creature is killed by an attack, free play it to your opponent's planet.",,200,200
"Semi-Omniplanetary Disguise","d203dc4e-84a0-4563-920e-d6e8859e2580","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_348fbf2417fa4f8db3e53028e3cc0542~mv2.jpg/1%2089%20-%20SOPD.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Attachment",,"{""I - The Origin of Chaos"":""Common""}","The attached creature becomes a Baro, Sindian, or Gaios creature.",,,
"Ember Soul","d21d14df-2e10-46da-8d3b-487ac87add2e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:44:07Z,"wix:image://v1/c3c13c_46868ed60f3e46e3a012f15aa960e3c4~mv2.jpg/3%2012%20-%20Ember%20Soul.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Sheos","{""III - Galactic Divide"":""Common""}",,,180,140
"Shape Knight Lionel","d236e0be-ca5f-4a6a-a082-13321e36aaf5","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:17:42Z,2024-02-22T04:48:46Z,"wix:image://v1/e6d532_21d08f3027134dd892075ed4cf9f87fc~mv2.jpg/038%20-%20Shape%20Knight%20Lionel.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sindian Planetary Collection""]",1,"Creature","Sindian",,"When your turn begins, you can free play this killed creature. If you do, you can only play Sindian creatures for the rest of your turn. There can only be 1 zoned Shape Knight Lionel.",,10,10
"Dura The Utopanon Guard","d23b1e8a-70a8-4957-826b-8f5ac2df9ab3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:44:15Z,"wix:image://v1/c3c13c_ff0652a525bc4ccb9b2f4994f4287add~mv2.jpg/004%20-%20Dura%20the%20Utopanon%20Guard.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",4,"Creature","Sindian","{""Base Galaxy 5: The Justice of Sindian"":""Common""}","Once per turn, if you have another zoned utopanon guard, you can kill 1 zoned resource/attachment card.",,120,220
"Aromatic Scent","d28d8767-821f-41ae-9142-b822becd63c9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_ff1c3b15058442a2972329be96486184~mv2.jpg/4%20102%20-%20Aromatic%20Scent.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Attachment",,"{""IV - Planets United"":""Limited Edition""}","At the end of each of your turns, the attached creature's owner gains 1 point. Kill the attached creature after 5 of your turns.",,,
"Avalanche Overlord","d2af5e36-bee9-44cf-aea4-70dcee2056fb","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:43:37Z,"wix:image://v1/06e28e_e487cb27e59f4363b18e8b62d14327d2~mv2.jpg/015-Avalanche-Breaker.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",7,"Creature","Baro","{""V - Beyond Horizons"":""Common""}","When this creature is played, kill all zoned creatures with 400 or more power.",,300,360
"Spirispear","d2c7993b-8fce-4f64-9bb9-0337dba7af11","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:29:39Z,"wix:image://v1/06e28e_73fbf14458f6450fa3d034d98e6da9f5~mv2.jpg/026-Spirispear.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",2,"Creature","Sindian","{""V - Beyond Horizons"":""Common""}","When another creature is cost played, this creature permanently gains 20 power & health for each star that creature has.
",,40,40
"Humungous Ancient Rock Man","d2cb0231-a8f9-4754-a3eb-b4c2164c3a93","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:45:37Z,"wix:image://v1/c3c13c_5aa3fd28be8542f28d5d1c42ecf7e57f~mv2.jpg/1%202%20-%20HARM.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Baro Planetary Collection"",""Legends of the Cosmos""]",7,"Creature","Baro","{""I - The Origin of Chaos"":""Really Rare"",""Baro Planetary Collection"":""Rare"",""Legends of the Cosmos"":""Really Rare""}",,,310,400
"Humungous Creation","d31ea4d5-e555-48e6-bcba-5f2a8416fae5","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_1af80f7c8fff46febf46889dc7927705~mv2.jpg/D4%2029%20-%20Humungus%20Creation.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 4: The Wastelands of Baro""]",,"Activator",,"{""Base Galaxy 4: The Wastelands of Baro"":""Rare""}","When a Baro creature on your planet is killed by an opponent's attack or card ability... Draw 1 card. If that card is a Baro creature, you can show it to your opponent to draw 1 more card.",,,
"Elite Transponge","d331f5f2-ba6f-4faf-ad72-45f1bed230a7","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:44:09Z,"wix:image://v1/c3c13c_12a11ca3c93c4e1bb482180fd072cd18~mv2.jpg/d1%2012%20-%20elite%20transponge.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium"",""Palicium Planetary Collection""]",6,"Creature","Palicium","{""Base Galaxy 1: The Depths of Palicium"":""Rare"",""Palicium Planetary Collection"":""Common""}","To cost play this card, you must kill 1 transponge from your hand or planet and pay 1 star (Instead of paying 6 stars). This card cannot be free played.",,290,330
"Supernova","d37ac6c9-6e6f-4851-82a6-db1bcf064dc3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-08T15:41:32Z,"wix:image://v1/c3c13c_6f36163ae525482eb82e00d092d967c7~mv2.jpg/2%2057%20-%20Supernova.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Resource",,"{""II - Deep Space Discoveries"":""Really Rare""}","Kill 1 creature card on your opponent's planet which has no special ability.",,,
"Safety Cable","d392c5dc-906d-4bd1-9825-0938965e6215","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-11-02T18:14:23Z,"wix:image://v1/c3c13c_c44714fc022446fe980a8ac43102d3fb~mv2.jpg/016%20-%20Safety%20Cable.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar"",""V - Beyond Horizons""]",,"Resource",,"{""Base Galaxy: Teklar"":""Rare"",""V - Beyond Horizons"":""Common""}","Put 1 handed, Teklar creature or combiner card on top of your galaxy. Shuffle 1 zoned card into its owner's galaxy.",,,
"Forbidden Fruit of the Night","d3c5b6a9-8069-458f-bf08-56ad9b543556","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_5240e317a573400b8b17438dc5733ab4~mv2.jpg/D3%2030%20-%20Forbidden%20Fruit%20of%20the%20Night.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",,"Attachment",,"{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}","Attach only to a Beast of the Nightjungle creatures. When it attacks and kills a creature, play 1 Nightjungle resource card from your galaxy to your planet. If you can't, kill all creatures on your planet.",,,
"Suten Kabonk","d42ba1fd-65d4-4971-a195-64922cd03aef","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:48:17Z,"wix:image://v1/c3c13c_dff5a8d97fe049c5bd05a8e526697d1c~mv2.jpg/4%2018%20-%20Suten.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",4,"Creature","Baro","{""IV - Planets United"":""Common""}","Whilst this creature has a card attached to it, it also becomes a Palicium creature.",,150,230
"Offerings to Eos","d4305c8e-9399-4335-b665-71525402407c","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:08:32Z,2024-02-22T04:42:56Z,"wix:image://v1/e6d532_095812fb71c84758b0355a08655764b8~mv2.jpg/043%20-%20Offerings%20of%20Eos.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sheos Planetary Collection""]",,"Resource",,,,,,
"K.O.","d4e3e2b1-27cd-48c0-93b0-ae34338a0e64","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-09T23:58:00Z,"wix:image://v1/c3c13c_96015ffe33704fcfb28240612c8f5d40~mv2.jpg/1%2080%20-%20ko.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Attachment",,"{""I - The Origin of Chaos"":""Rare"",""Legends of the Cosmos"":""Ridiculously Rare""}","The attached creature's health becomes 0.",,,
"Eden, Protector of Fire","d4ee35b2-ab6d-4d89-bafa-6d65fbd48401","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:44:14Z,"wix:image://v1/c3c13c_92714024e1464635a4263859c000b841~mv2.jpg/1%20101%20-%20eden%20protector%20of%20fire.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",5,"Creature","Sheos","{""I - The Origin of Chaos"":""Limited Edition""}","At the end of each of your turns, you must show your opponent 1 sheos creature in your hand or kill this card. You cant show the same creature more the once.",,130,400
"Warrior from a Strange Galaxy","d5097449-737c-4c87-a596-2442488e328e","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-08T23:04:52Z,2022-11-08T23:04:54Z,"wix:image://v1/06e28e_d4dc50b8817a4a2c84c8a1df6a140edc~mv2.jpg/059-Warrior-From-A-Strange-Galaxy.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","No Planet","{""V - Beyond Horizons"":""Common""}",,,250,200
"Wild Wing","d533168f-0287-4980-9601-6780a3c3bb24","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:49:25Z,"wix:image://v1/c3c13c_3c1599f348e944dfa3dd43cf8662c156~mv2.jpg/2%2014%20-%20Wild%20Wing.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",4,"Creature","Rokah","{""II - Deep Space Discoveries"":""Rare"",""Legends of the Cosmos"":""Common""}",,,270,130
"Point","d58025e1-68b9-4f3d-a4ec-c57af9b65ec5","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-09T23:49:38Z,"wix:image://v1/c3c13c_86d0c997958941ccb1c42839fe1fb6f3~mv2.jpg/1%2053%20-%20Point.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Rare""}","You gain 1 point.",,,
"Weatherman Litnoong","d595d412-1018-42e6-92db-4bcf00abae0c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:48:56Z,"wix:image://v1/c3c13c_b4720e9560bc47e4b8d846588a4f67e6~mv2.jpg/3%206%20-%20Weatherman%20Litnoong.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature","Rokah","{""III - Galactic Divide"":""Common""}","If Weathermachine is on your planet, this creature can attack twice per turn.",,240,100
"The Great Palifalls","d5be1f32-4d02-4297-bbec-236396ba6bf1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_bb33be440202472bb11fa918b4c70af6~mv2.jpg/025---The-Great-Palifalls.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Palicium Planetary Collection""]",,"Permanent Resource",,"{""Palicium Planetary Collection"":""Common""}","All zoned Palifalls creatures gain 100 health. Once per turn, when you cost play a Palifalls creature, you can add 1 Palifalls creature with fewer stars to your hand.",,,
